frame_index,plugin_timestamp,producer_timestamp,write_to_buffer_time,read_from_buffer_time,write_to_led_buffer_time,read_from_led_buffer_time,render_time,item_duration
15,0.9333333333333332,0.9333333333333332,1753497015.269533,1753497015.4171543,1753497015.5719476,1753497015.5727684,1753497015.5945714,5.0
19,1.2,1.2,1753497015.5805058,1753497015.7362084,0.0,0.0,0.0,5.0
18,1.1333333333333333,1.1333333333333333,1753497015.5744758,1753497015.5777779,1753497015.734119,1753497015.734873,1753497015.7558088,5.0
20,1.2666666666666666,1.2666666666666666,1753497015.5856977,1753497015.7384465,1753497015.7986484,1753497015.7994518,1753497015.8176653,5.0
21,1.3333333333333333,1.3333333333333333,1753497015.7365985,1753497015.8007302,1753497015.8683383,1753497015.8691003,1753497015.886982,5.0
22,1.4,1.4,1753497015.7420816,1753497015.8704631,1753497015.926142,1753497015.9268987,1753497015.9448855,5.0
23,1.4666666666666666,1.4666666666666666,1753497015.8013542,1753497015.9282854,1753497015.9918838,1753497015.9926574,1753497016.0149567,5.0
24,1.5333333333333332,1.5333333333333332,1753497015.870749,1753497015.9953277,1753497016.0465264,1753497016.047259,1753497016.0671458,5.0
25,1.5999999999999999,1.5999999999999999,1753497015.9282367,1753497016.04836,1753497016.1094766,1753497016.1102047,1753497016.1300147,5.0
26,1.6666666666666665,1.6666666666666665,1753497015.9944875,1753497016.1112256,1753497016.1777694,1753497016.178471,1753497016.196059,5.0
27,1.7333333333333332,1.7333333333333332,1753497016.0487304,1753497016.1795497,1753497016.2456667,1753497016.2464075,1753497016.2644706,5.0
28,1.7999999999999998,1.7999999999999998,1753497016.1121712,1753497016.2475042,1753497016.3135974,1753497016.314303,1753497016.3319528,5.0
29,1.8666666666666665,1.8666666666666665,1753497016.1803217,1753497016.3153446,1753497016.3801496,1753497016.3807611,1753497016.4026723,5.0
30,1.9333333333333331,1.9333333333333331,1753497016.2486165,1753497016.3845844,1753497016.4357805,1753497016.4364738,1753497016.4540856,5.0
